,Component,Component Count,SMILES,SMILES Count
0,water,5757,O,5757.0
1,ethanol,4346,CCO,4346.0
2,heptane,3323,CCCCCCC,3323.0
3,octane,3184,CCCCCCCC,3184.0
4,toluene,2510,CCCO,2673.0
5,cyclohexane,2462,Cc1ccccc1,2510.0
6,1-propanol,2316,C1CCCCC1,2462.0
7,2-propanol,2304,CC(C)O,2304.0
8,benzene,2266,c1ccccc1,2266.0
9,1-butanol,2193,CCCCO,2193.0
10,methyl tert-butyl ether,2127,COC(C)(C)C,2127.0
11,nonane,1719,CCCCCCCCCC,2033.0
12,methylcyclohexane,1353,CCCCCCCCC,1719.0
13,"2,2,4-trimethylpentane",1322,CC1CCCCC1,1353.0
14,1-heptanol,1293,CC(C)CC(C)(C)C,1322.0
15,"1,4-dimethylbenzene",1204,CCCCCCCO,1293.0
16,dibutyl ether,1198,Cc1ccc(C)cc1,1204.0
17,2-methyl-2-propanol,1168,CCCCOCCCC,1198.0
18,decane,1102,CC(C)(C)O,1168.0
19,n-decane,931,CO,872.0
20,glycerol,860,OCC(O)CO,860.0
21,2-butoxyethanol,781,CCCCOCCO,781.0
22,tert-butyl ethyl ether,748,CCOC(C)(C)C,748.0
23,methanol,743,CCCCCCCCO,722.0
24,1-octanol,722,CCCCCO,670.0
25,1-pentanol,670,CCCCCCO,649.0
26,1-hexanol,649,Cc1cccc(C)c1,638.0
27,"1,3-dimethylbenzene",638,CC(O)CO,570.0
28,"1,2-propanediol",570,CCCCCC,560.0
29,hexane,560,OCCOCCO,536.0
30,bis(2-hydroxyethyl) ether,536,CCc1ccccc1,494.0
31,ethylbenzene,494,CCCCC,483.0
32,pentane,483,CCCCCCCCCO,469.0
33,1-nonanol,469,COCCOC,452.0
34,"1,2-dimethoxyethane",452,COc1ccccc1,410.0
35,methoxybenzene,410,C1CCOC1,409.0
36,tetrahydrofuran,409,OCCCO,406.0
37,"1,3-propanediol",406,CC(C)CO,399.0
38,2-methyl-1-propanol,399,OCCO,398.0
39,"1,2-ethanediol",398,C1CCCC1,386.0
40,cyclopentane,386,COCCO,364.0
41,2-methoxyethanol,364,C1CCOCC1,289.0
42,n-propyl alcohol,357,Cc1cc(C)cc(C)c1,285.0
43,tetrahydropyran,289,CCC(O)CO,278.0
44,"1,3,5-trimethylbenzene",285,OCCc1ccccc1,273.0
45,"1,2-butanediol",278,COCCOCCOC,257.0
46,2-phenylethanol,273,C1CCCCCCC1,245.0
47,"2,5,8-trioxanonane",257,C1COCCO1,241.0
48,cyclooctane,245,CCC(C)(C)O,239.0
49,"1,4-dioxane",241,CC(C)CCO,235.0
50,2-methyl-2-butanol,239,CC(O)CCO,218.0
51,3-methyl-1-butanol,235,OCCCCO,215.0
52,"1,3-butanediol",218,C1COCO1,204.0
53,"1,4-butanediol",215,CCC(C)O,193.0
54,"1,3-dioxolane",204,CCC(C)CO,173.0
55,butan-2-ol,193,CCCC,163.0
56,2-methyl-1-butanol,173,CCC,157.0
57,butane,163,CCCC(C)O,126.0
58,propane,157,CCCCC(CC)CO,106.0
59,methyl alcohol,129,Cc1ccc(C)c(C)c1,84.0
60,2-pentanol,126,CC(C)OC(C)C,80.0
61,2-ethyl-1-hexanol,106,OCc1ccccc1,78.0
62,"1,2,4-trimethylbenzene",84,CCCCC(C)O,48.0
63,isopropyl ether,80,CCOCCO,47.0
64,benzyl alcohol,78,CC,44.0
65,2-hexanol,48,C,37.0
66,"ethanol, 2-ethoxy-",47,Cc1ccccc1C,37.0
67,ethane,44,CCOCC,22.0
68,"1,2-dimethylbenzene",37,OC1CCCCC1,15.0
69,methane,37,Oc1ccccc1,13.0
70,diethyl ether,22,CCCCCCC(C)O,13.0
71,cyclohexanol,15,CCCCCC(C)C,9.0
72,phenol,13,OC[C@@H](O)[C@@H](O)[C@@H](O)CO,6.0
73,2-octanol,13,OCC1CO1,1.0
74,isooctane,9,,
75,ribitol,6,,
76,glycidol,1,,
